Tonga,Gloss,Tone,C1,C2,maxf0,minf0,meanf0,diff.f0,intensity,duration,C1.class,C2.class
ku-mij-a,scatter,L,m,j,215.5820124,193.9766001,209.097523,50.9379356,71.45375822,71.22981041,sonorants,voiced obstruents
ku-tinkh-a,hate,L,t,nkh,220.5505049,201.2670921,214.6633351,74.0077797,69.49079708,53.05705655,voiceless obstruents,aspirates
ku-wej-a,fish,L,w,j,204.4194282,186.3918497,199.5643627,50.8257444,76.96034737,82.35656241,sonorants,voiced obstruents
ku-wth-a,wrm self,L,w,th,197.8943146,190.7040867,196.1607114,47.6862718,71.39473841,49.46316214,sonorants,aspirates
ku-banth-a,go slowy,L,b,nth,199.3243059,177.722244,191.7950257,46.6563442,76.26943417,95.07659397,voiced obstruents,aspirates
ku-cov-a,gamble,L,c,v,199.7974546,183.6998545,195.5396911,57.5820407,73.60752323,84.71096044,voiceless obstruents,voiced obstruents
ku-guz-a,drag,L,g,z,199.4570804,176.6913491,193.3456234,57.5835465,71.60729035,70.71417753,voiced obstruents,voiced obstruents
ku-job-a,cut out,L,j,b,177.6592731,163.3728536,175.0550071,45.0669693,71.01956633,60.74257612,voiced obstruents,voiced obstruents
ku-khuch-a,pull in fishing line,L,kh,ch,231.0481049,215.8814503,226.5811989,83.0551026,73.06207558,28.35317234,aspirates,aspirates
ku-thaz-a,spread,L,th,z,195.5050039,176.1447037,189.7173488,52.3919699,76.87699193,89.94992714,aspirates,voiced obstruents
ku-bud-a,do wong,H,b,d,125.8640024,118.4101186,122.4712976,-12.1539954,64.14727841,64.28456463,voiced obstruents,voiced obstruents
ku-bumph-a,be blunt,H,b,mph,134.5713329,128.9402464,132.8683978,-6.5062309,67.68779211,57.98494797,voiced obstruents,aspirates
ku-chinth-a,be firm,H,ch,nth,150.1519447,139.2146193,147.0415555,10.7626954,67.21289341,49.29722788,aspirates,aspirates
ku-dod-a,be deep voiced,H,d,d,126.8320303,121.2293003,124.0454799,-4.2995448,67.26103015,88.29394895,voiced obstruents,voiced obstruents
ku-god-a,triumph over,H,g,d,123.1910665,119.8586342,121.5205415,-8.9256363,69.08183065,82.9821185,voiced obstruents,voiced obstruents
ku-gug-a,be old,H,g,g,127.5133686,115.4252719,124.4916129,-14.7158843,63.26467507,71.1547552,voiced obstruents,voiced obstruents
ku-janth-a,hurry,H,j,nth,144.5217601,129.8465703,138.7432576,1.3968361,73.61865591,93.68672996,voiced obstruents,aspirates
ku-mal-a,finish,L,m,l,176.4099943,158.028815,167.1509362,14.8083767,76.71508955,97.34562764,sonorants,sonorants
ku-mang-a,tie,L,m,ng,165.9825695,151.8259659,159.1721332,14.1440467,74.01347685,87.05893839,sonorants,prenasalized voiced stops
ku-nat-a,be very dirty,L,n,t,164.255012,153.3031341,157.1962136,13.8024454,76.21251462,87.87305333,sonorants,voiceless obstruents
ku-nen-a,deride,L,n,n,157.8920863,142.4151117,149.3995938,9.7702163,70.52833456,83.02769692,sonorants,sonorants
ku-ng'ol-a,deny wth grimace,L,ng',l,172.9885721,162.1114322,168.3297478,18.12177,72.87494927,117.4599913,sonorants,sonorants
ku-nun-a,be fat,L,n,n,174.2082646,160.4021966,166.9207063,18.5734655,68.24926114,72.62894444,sonorants,sonorants
ku-cep-a,be inadequate,H,c,p,173.5972129,163.8131945,170.9411435,14.0177163,72.28867322,77.50521804,voiceless obstruents,voiceless obstruents
